,PCU3312103312100
1967-01-01,26.7
1967-02-01,27.2
1967-03-01,27.2
1967-04-01,27.2
1967-05-01,27.2
1967-06-01,27.2
1967-07-01,27.2
1967-08-01,27.2
1967-09-01,27.2
1967-10-01,27.2
1967-11-01,27.2
1967-12-01,27.2
1968-01-01,27.3
1968-02-01,27.3
1968-03-01,27.3
1968-04-01,27.3
1968-05-01,27.7
1968-06-01,27.8
1968-07-01,27.9
1968-08-01,27.9
1968-09-01,28.0
1968-10-01,28.0
1968-11-01,28.0
1968-12-01,28.0
1969-01-01,28.0
1969-02-01,28.2
1969-03-01,28.2
1969-04-01,28.6
1969-05-01,28.6
1969-06-01,28.6
1969-07-01,28.9
1969-08-01,28.9
1969-09-01,29.1
1969-10-01,29.5
1969-11-01,29.4
1969-12-01,29.4
1970-01-01,29.4
1970-02-01,29.4
1970-03-01,29.4
1970-04-01,29.7
1970-05-01,30.6
1970-06-01,30.7
1970-07-01,30.8
1970-08-01,30.8
1970-09-01,30.8
1970-10-01,30.8
1970-11-01,30.8
1970-12-01,30.8
1971-01-01,30.8
1971-02-01,31.3
1971-03-01,31.3
1971-04-01,31.7
1971-05-01,32.6
1971-06-01,32.7
1971-07-01,32.9
1971-08-01,35.0
1971-09-01,35.0
1971-10-01,35.0
1971-11-01,35.0
1971-12-01,35.0
1972-01-01,35.0
1972-02-01,35.0
1972-03-01,35.1
1972-04-01,35.2
1972-05-01,35.2
1972-06-01,35.2
1972-07-01,35.3
1972-08-01,35.3
1972-09-01,35.3
1972-10-01,35.3
1972-11-01,35.3
1972-12-01,35.3
1973-01-01,36.3
1973-02-01,36.3
1973-03-01,36.4
1973-04-01,36.5
1973-05-01,36.8
1973-06-01,36.8
1973-07-01,36.8
1973-08-01,36.8
1973-09-01,36.8
1973-10-01,36.8
1973-11-01,36.8
1973-12-01,36.8
1974-01-01,37.6
1974-02-01,38.1
1974-03-01,39.9
1974-04-01,42.3
1974-05-01,45.9
1974-06-01,47.8
1974-07-01,49.8
1974-08-01,51.5
1974-09-01,52.0
1974-10-01,52.2
1974-11-01,52.2
1974-12-01,52.2
1975-01-01,53.8
1975-02-01,54.2
1975-03-01,54.3
1975-04-01,54.2
1975-05-01,55.3
1975-06-01,55.3
1975-07-01,55.3
1975-08-01,55.3
1975-09-01,56.1
1975-10-01,56.9
1975-11-01,57.1
1975-12-01,57.1
1976-01-01,56.9
1976-02-01,56.9
1976-03-01,56.9
1976-04-01,56.9
1976-05-01,57.5
1976-06-01,58.7
1976-07-01,59.2
1976-08-01,59.2
1976-09-01,59.2
1976-10-01,59.2
1976-11-01,59.2
1976-12-01,60.0
1977-01-01,60.0
1977-02-01,60.4
1977-03-01,62.2
1977-04-01,62.3
1977-05-01,62.5
1977-06-01,62.4
1977-07-01,62.4
1977-08-01,64.1
1977-09-01,66.1
1977-10-01,66.1
1977-11-01,66.0
1977-12-01,66.1
1978-01-01,66.1
1978-02-01,67.7
1978-03-01,68.5
1978-04-01,69.2
