aapl	320193
msft	789019
googl	1652044
amzn	1018724
tsla	1318605
brk-b	1067983
tsm	1046179
fb	1326801
nvda	1045810
v	1403161
jpm	19617
unh	731766
jnj	200406
spy	884394
bac	70858
lvmuy	824046
pg	80424
wmt	104169
hd	354950
ma	1141391
xom	34088
baba	1577552
pfe	78003
dis	1744489
cvx	93410
tm	1094517
ko	21344
asml	937966
abbv	1551152
avgo	1730168
pep	77476
wfc	72971
csco	858877
cost	909832
adbe	796343
lly	59478
nvo	353278
vz	732712
tmo	97745
abt	1800
nke	320187
cmcsa	1166691
orcl	1341439
acn	1467373
crm	1108524
dhr	313616
intc	50863
mrk	310158
nvs	1114448
mcd	63908
ms	895421
ups	1090727
qcom	804328
azn	901832
bhp	811809
nflx	1065280
t	732717
schw	316709
pm	1413329
ptr	1108329
ry	1000275
tmus	1283699
td	947263
unp	100885
hsbc	1089113
tte	879764
low	60667
txn	97476
intu	896878
lin	1707925
axp	4962
bmy	14272
nee	753308
rtx	101829
sap	1000184
mdt	1613103
cvs	64803
amd	2488
qqq	1067839
rtntf	887028
ul	217410
pypl	1633917
sony	313838
c	831001
sny	1121404
hon	773840
amgn	318154
rio	863064
ba	12927
cop	1163165
hdb	1144967
jd	1549802
gs	886982
de	315189
lfc	1268896
ibm	51143
amat	6951
blk	1364742
deo	835403
now	1373715
gsk	1131399
bud	1668717
lmt	936468
bp	313807
cat	18230
antm	1156039
chtr	1091667
el	1001250
pld	1045609
amt	1053507
sbux	829224
shop	1594805
ge	40545
bti	1303523
abnb	1559720
eqnr	1140625
bkng	1075531
eadsy	1378580
tgt	27419
isrg	1035267
mu	723125
syk	310764
infy	1067491
zts	1555280
spgi	64040
mdlz	1103982
pbr	1119639
mo	764180
mmm	66740
bam	1001085
idexy	1438656
snow	1640147
bns	9631
bnpqy	310732
enb	895728
se	1703399
cb	896159
bx	1393818
pnc	713676
dmlry	1067318
snp	1123658
usb	36104
cme	1156375
cni	16868
mufg	67088
adp	8670
vale	917851
tfc	92230
tjx	109198
team	1650372
adi	6281
cta-pa	30554
sftby	1065521
lrcx	707549
gild	882095
bdx	10795
mmc	62709
duk	1326160
bmo	927971
ci	1739940
pdd	1737806
csx	277948
hca	860730
glncy	1524684
cci	1051470
enlay	1096200
ibn	1103838
shw	89800
ubs	1610520
ice	1571949
gm	1467858
so	92122
f	37996
pbcry	1463157
regn	872589
uber	1543151
abb	1091587
itw	49826
eog	821189
fis	1136893
ew	1099800
ntes	1110646
cl	21665
cp	16875
cof	927628
atlcy	748954
san	891478
mrna	1682852
nsc	702165
fisv	798354
d	715957
snap	1564408
atvi	718877
fcx	831259
noc	1133421
psa	1393311
aon	315293
cnq	1017413
pgr	80661
mco	1059556
fdx	1048911
bsx	885725
eqix	1101239
amx	1129137
etn	1551182
met	1099219
gd	40533
wm	823768
vrtx	875320
relx	929869
stla	1605484
wday	1327811
cm	1045520
rbgly	1420798
mrvl	1835632
slb	87347
chgcy	1453934
bidu	1329099
emr	32604
pxd	1038357
klac	319201
prndy	899108
ing	1039765
mar	1048286
meli	1099590
e	1002242
race	1648416
hum	49071
apd	2969
kdp	1418135
epd	1061219
ngg	1004315
ecl	31462
vmw	1124610
ddog	1561550
hmc	715153
rivn	1874178
scco	1001838
ilmn	1110803
smfg	1022837
trp	1232384
