Symbol,cik
a,1090872
aa,1675149
aal,6201
aaoi,1158114
aaon,824142
aap,1158449
aapl,320193
aat,1500217
aaww,1135185
ab,825313
abb,1091587
abbv,1551152
abc,1140859
abcb,351569
abcl,1703057
abcm,1492074
abev,1565025
abg,1144980
abm,771497
abmd,815094
abnb,1559720
abr,1253986
abt,1800
aca,1739445
acad,1070494
acb,1683541
acc,1283630
acgl,947484
ach,1161611
achc,1520697
aci,1646972
aciw,935036
acm,868857
acn,1467373
act,1823529
adbe,796343
adc,917251
adi,6281
adm,7084
adnt,1670541
adp,8670
adpt,1478320
ads,1101215
adsk,769397
adt,1703056
adv,1776661
aee,1002910
aeg,769218
aeis,927003
ael,1039828
aem,2809
aeo,919012
aep,4904
aer,1378789
aes,874761
afg,1042046
afl,4977
afrm,1820953
ag,1308648
agco,880266
agi,1178819
agl,1831097
agnc,1423689
ago,1273813
agr,1634997
agti,1749704
ahco,1725255
aht,1232582
ai,1577526
aig,5272
aimc,1374535
ain,819793
airc,1820877
ait,109563
aiz,1267238
ajg,354190
ajrd,40888
akam,1086222
al,1487712
alb,915913
alc,1167379
ale,66756
algm,866291
algn,1097149
algt,1362468
alit,1809104
alk,766421
alks,1520262
all,899051
alle,1579241
ally,40729
alny,1178670
alrm,1459200
alsn,1411207
altr,1701732
alv,1034670
am,1623925
amat,6951
amba,1280263
ambp,1845097
amc,1411579
amcr,1748790
amd,2488
ame,1037868
amed,896262
ameh,1083446
amg,1004434
amgn,318154
amh,1562401
amkr,1047127
amn,1142750
amov,1129137
amp,820027
ampl,1866692
amrc,1488139
amrn,897448
amrs,1365916
amt,1053507
amx,1129137
amzn,1018724
an,350698
anat,1801075
anet,1596532
anf,1018840
angi,1705110
anss,1013462
antm,1156039
any,1591956
aon,315293
aos,91142
apa,1841666
apam,1517302
apd,2969
apg,1796209
aph,820313
aple,1418121
apls,1492422
apo,1858681
app,1751008
appf,1433195
apph,1807707
appn,1441683
apps,317788
apt,884269
aptv,1521332
aqn,1174169
aqua,1604643
ar,1433270
arcb,894405
arcc,1287750
are,1035443
ares,1176948
argx,1697862
armk,1584509
arna,1080709
arnc,1790982
arqq,1859690
arvl,1835059
arvn,1655759
arw,7536
arwr,879407
asai,1834048
asan,1477720
asb,7789
asgn,890564
ash,1674862
asml,937966
asnd,1612042
aso,1817358
asr,1123452
asx,1122411
atc,1762459
atco,1794846
ater,1757715
athm,1527636
ati,1018963
atkr,1666138
ato,731802
atos,1488039
atr,896622
atrc,1323885
atus,1702780
atvi,718877
au,1067428
aub,883948
auph,1600620
aur,1828108
auy,1264089
ava,104918
aval,1504764
avb,915912
avgo,1730168
avlr,1348036
avnt,1122976
avt,8858
avtr,1722482
avxl,1314052
avy,8818
awi,7431
awk,1410636
awr,1056903
ax,1299709
axnx,1603756
axon,1069183
axp,4962
axs,1214816
axta,1616862
ay,1601072
ayi,1144215
ayx,1689923
azek,1782754
azn,901832
azo,866787
azpn,929940
azta,933974
b,9984
ba,12927
baba,1577552
bac,70858
bah,1443646
bak,1071438
bam,1001085
banf,760498
banr,946673
bap,1001290
bax,10456
bb,1070235
bbby,886158
bbd,1160330
bbdo,1160330
bbig,1717556
bbln,1866390
bbu,1654795
bbva,842180
bbwi,701985
bby,764478
bc,14930
bcat,1809541
bcc,1328581
bce,718940
bch,1161125
bco,78890
bcpc,9326
bcrx,882796
bcs,312069
bdc,913142
bdn,790816
bdx,10795
be,1664703
beam,1745999
becn,1124941
beke,1809587
ben,38777
bep,1533232
bepc,1791863
bery,1378992
bfam,1437578
bg,1144519
bgne,1651308
bhc,885590
bhf,1685040
bhp,811809
bhvn,1689813
bidu,1329099
bigc,1626450
bigz,1836057
biib,875045
bili,1723690
bill,1786352
bio,12208
bip,1406234
bipc,1788348
bj,1531152
bk,1390777
bkh,1130464
bki,1627014
bkkt,1820302
bkng,1075531
bkr,1701605
bku,1504008
bl,1666134
bld,1633931
bldp,1453015
bldr,1316835
blk,1364742
blkb,1280058
bll,9389
blnk,1429764
bmbl,1830043
bmi,9092
bmo,927971
bmrn,1048477
bmy,14272
bnl,1424182
bns,9631
bntx,1776985
boh,46195
bokf,875357
boot,1610250
box,1372612
bp,313807
bpmc,1597264
bpop,763901
br,1383312
brc,746598
brfs,1122491
brkr,1109354
bro,79282
bros,1866581
brx,1581068
brze,1676238
bsac,1027552
bsbr,1471055
bsm,1621434
bsmx,1698287
bstz,1768666
bsx,885725
bsy,1031308
btbt,1710350
btg,1429937
bti,1303523
bud,1668717
burl,1579298
bvn,1013131
bwa,908255
bwxt,1486957
bx,1393818
bxmt,1061630
bxp,1037540
bxsl,1736035
byd,906553
bynd,1655210
bz,1842827
c,831001
cabo,1632127
cacc,885550
caci,16058
cade,1299939
cae,1173382
cag,23217
cah,721371
caj,16988
calx,1406666
car,723612
carg,1494259
carr,1783180
casy,726958
cat,18230
caty,861842
cb,896159
cboe,1374310
cbre,1138118
cbrl,1067294
cbsh,22356
cbt,16040
cbu,723188
cc,1627223
cccs,1818201
ccep,1650107
cci,1051470
ccj,1009001
cck,1219601
ccl,815097
ccmp,1102934
ccoi,1158324
ccs,1576940
ccu,888746
cday,1725057
cdev,1658566
cdk,1609702
cdns,813672
cdw,1402057
ce,1306830
cea,1030475
cei,1309082
celh,1341766
cent,887733
centa,887733
cere,1805387
cern,804753
cert,1827090
cf,1324404
cfg,759944
cflt,1699838
cfr,39263
cfx,1420800
cg,1527166
cgau,1854640
cgc,1737927
cgnx,851205
chd,313927
chdn,20212
che,19584
chgg,1364954
chh,1046311
chk,895126
chkp,1015922
chng,1756497
chpt,1777393
chrw,1043277
cht,1132924
chtr,1091667
chwy,1766502
chx,1723089
ci,1739940
cib,1071371
cien,936395
cig,1157557
cigi,913353
cim,1409493
cinf,20286
civi,1509589
cixx,1829948
cl,21665
clbk,1723596
clf,764065
clh,822818
clov,1801170
clr,732834
clvs,1466301
clvt,1764046
clx,21076
cm,1045520
cma,28412
cmc,22444
cmcsa,1166691
cme,1156375
cmg,1058090
cmi,26172
cms,811156
cmtg,1666291
cna,21175
cnc,1071739
cnhi,1567094
cni,16868
cnm,1856525
cnmd,816956
cnne,1704720
cno,1224608
cnp,1130310
cnq,1017413
cns,1284812
cnx,1070412
cnxc,1803599
codx,1692415
cof,927628
cohr,21510
coin,1679788
coke,317540
colb,887343
cold,1455863
colm,1050797
comp,1563190
cone,1553023
coo,711404
coop,933136
cop,1163165
corz,1839341
cost,909832
coty,1024305
coup,1385867
cour,1651562
cp,16875
cpa,1345105
cpb,16732
cpe,928022
cpg,1545851
cpk,19745
cpng,1834584
cpri,1530721
cprt,900075
cpt,906345
cqp,1383650
cr,25445
crc,1609253
crct,1828962
crh,849395
cri,1060822
crl,1100682
crm,1108524
crnc,1768267
cron,1656472
crox,1334036
crsp,1674416
crus,772406
crvl,874866
crwd,1535527
cs,1159510
csan,1430162
csco,858877
csgp,1057352
csiq,1375877
csl,790051
csq,1275214
cstm,1563411
csx,277948
ctas,723254
ctlt,1596783
ctos,1709682
ctra,858470
ctsh,1058290
ctva,1755672
ctxs,877890
cube,1298675
cuk,1125259
cuz,25232
cvac,1809122
cvbf,354647
cvco,278166
cve,1475260
cvet,1752836
cvlt,1169561
cvna,1690820
cvs,64803
cvt,1827075
cvx,93410
cw,26324
cwan,1866368
cwen,1567683
cwh,1669779
cwk,1628369
cwst,911177
cwt,1035201
cx,1076378
cxm,1569345
cybr,1598110
cyh,1108109
cytk,1061983
czoo,1859639
czr,1590895
d,715957
dada,1793862
dal,27904
dan,26780
dar,916540
dash,1792789
dava,1656081
dave,1841408
db,1159508
dbrg,1679688
dbx,1467623
dci,29644
dcp,1338065
dct,1160951
dd,1666700
ddd,910638
ddog,1561550
dds,28917
de,315189
deck,910521
dei,1364250
dell,1571996
den,945764
deo,835403
dfs,1393612
dg,29534
dgx,1022079
dh,1861795
dhi,882184
dhr,313616
dia,1041130
didi,1764757
diod,29002
dis,1744489
disca,1437107
discb,1437107
disck,1437107
dish,1001082
dkng,1772757
dks,1089063
dlb,1308547
dlo,1846832
dlr,1297996
dltr,935703
dna,1830214
dnb,1799208
dnli,1714899
dnp,806628
dnut,1857154
doc,1574540
docn,1582961
docs,1516513
docu,1261333
dooo,1748797
door,893691
dorm,868780
dov,29905
dow,1751788
dox,1062579
dpz,1286681
dq,1477641
dre,783280
dri,940944
drvn,1804745
dsey,1831617
dsgx,1050140
dt,1773383
dte,936340
dtm,1842022
duk,1326160
duol,1562088
dv,1819928
dva,927066
dvn,1090012
dwac,1849635
dxc,1688568
dxcm,1093557
dy,67215
e,1002242
ea,712515
eaf,931148
ebay,1065088
ebc,1810546
ebr,1439124
ebs,1367644
ec,1444406
ecl,31462
ed,1047862
edit,1650664
edr,1766363
edu,1372920
eeft,1029199
efx,33185
eght,1023731
egp,49600
ehc,785161
eix,827052
el,1001250
elan,1739104
elp,1041792
els,895417
ely,837465
eme,105634
emn,915389
emr,32604
enb,895728
endp,1593034
enia,912505
enic,1659939
enlc,1592000
enph,1463101
enr,1632790
ens,1289308
ensg,1125376
entg,1101302
env,1337619
envx,1828318
eog,821189
epam,1352010
epay,1073349
epc,1096752
epd,1061219
epr,1045450
eprt,1728951
eqc,803649
eqh,1333986
eqix,1101239
eqnr,1140625
eqr,906107
eqrx,1843762
eqt,33213
erf,1126874
eric,717826
erie,922621
erj,1355444
es,72741
esgr,1363829
esi,1590714
eslt,1027664
esmt,1863105
esnt,1448893
ess,920522
estc,1707753
et,1276187
etn,1551182
etr,65984
etrn,1747009
etsy,1370637
etwo,1800347
ety,1340736
eva,1592057
evcm,1853145
evh,1628908
evo,1412558
evr,1360901
evrg,1711269
evt,1253327
evtc,1559865
ew,1099800
ewbc,1069157
exas,1124140
exc,1109357
exel,939767
exfy,1476840
exg,1379438
exls,1297989
exp,918646
expd,746515
expe,1324424
expi,1495932
expo,851520
expr,1483510
exr,1289490
eye,1710155
f,37996
fa,1210677
faf,1472787
fang,1539838
fast,815556
fate,1434316
fb,1326801
fbc,1033012
fbhs,1519751
fbk,1649749
fbp,1057706
fcel,886128
fcfs,840489
fcn,887936
fcnca,798941
fcpt,1650132
fcx,831259
fds,1013237
fdx,1048911
fe,1031296
fele,38725
ferg,1832433
ffbc,708955
ffie,1805521
ffin,36029
ffiv,1048695
fhb,36377
fhi,1056288
fhn,36966
fibk,860413
fico,814547
figs,1846576
fis,1136893
fisv,798354
fitb,35527
five,1177609
fivn,1288847
fix,1035983
fizz,69891
fl,850209
flex,866374
flo,1128928
flow,1641991
flr,1124198
fls,30625
flt,1175454
flyw,1580560
fmbi,702325
fmc,37785
fms,1333141
fmx,1061736
fn,1408710
fnb,37808
fnd,1507079
fnf,1331875
fnv,1456346
focs,1651052
fold,1178879
form,1039399
four,1794669
fox,1754301
foxa,1754301
foxf,1424929
fr,921825
frc,1132979
frhc,924805
frme,712534
frog,1800667
frpt,1611647
frsh,1544522
frt,34903
fsk,1422183
fslr,1274494
fsly,1517413
fsr,1720990
fss,277509
fsv,1637810
ftai,1590364
ftch,1740915
ftdr,1727263
fti,1681459
ftnt,1262039
fts,1666175
ftv,1659166
fubo,1484769
ful,39368
fult,700564
fun,811532
futu,1754581
fvrr,1762301
fwona,1560385
fwonk,1560385
fwrd,912728
fxe,1328598
fybr,20520
g,1398659
gatx,40211
gbci,868671
gbdc,1476765
gcp,1644440
gd,40533
gddy,1609711
gdrx,1809519
gds,1526125
gdv,1260729
ge,40545
gef,43920
gfi,1172724
gfl,1780232
gfs,1709048
ggb,1073404
ggg,42888
gh,1576280
ghc,104889
gib,1061574
gil,1061894
gild,882095
gis,40704
gkos,1192448
gl,320335
glbe,1835963
gld,1222333
glob,1557860
glpg,1421876
glpi,1575965
glw,24741
gm,1467858
gmab,1434265
gme,1326380
gmed,1237831
gms,1600438
gnrc,1474735
gntx,355811
gnus,1355848
go,1771515
goev,1750153
gold,756894
golf,1672013
goog,1652044
googl,1652044
goos,1690511
gpc,40987
gpi,1031203
gpk,1408075
gpn,1123360
gpro,1500435
gps,39911
grab,1855612
grfs,1438569
grmn,1121788
grpn,1490281
grub,1792627
grwg,1604868
gs,886982
gsat,1366868
gshd,1726978
gsk,1131399
gt,42582
gtes,1718512
gtlb,1653482
gtls,892553
gwh,1819438
gwre,1528396
gww,277135
gxo,1852244
h,1468174
hae,313143
hain,910406
hal,45012
halo,1159036
has,46080
hasi,1561894
hayw,1834622
hban,49196
hbi,1359841
hca,860730
hcm,1648257
hcp,1720671
hd,354950
hdb,1144967
he,354707
hei,46619
hele,916789
hes,4447
hfc,48039
hgty,1840776
hgv,1674168
hhc,1498828
hhr,1721181
hi,1417398
hig,874766
hii,1501585
himx,1342338
hiw,921082
hl,719413
hlf,1180262
hli,1302215
hlio,1024795
hlne,1433642
hlt,1585689
hmc,715153
hmhc,1580156
hmy,1023514
hnp,929058
hog,793952
holx,859737
homb,1331520
hon,773840
hood,1783879
hp,46765
hpe,1645590
hpp,1482512
hpq,47217
hqy,1428336
hr,899749
hrb,12659
hri,1364479
hrl,48465
hsbc,1089113
hsic,1000228
hst,1070750
hsy,47111
hta,1360604
hth,1265131
htht,1483994
htlf,920112
htz,1657853
hubb,48898
hubg,940942
hubs,1404655
hum,49071
hun,1307954
hut,1731805
huya,1728190
hwc,750577
hwm,4281
hxl,717605
hyln,1759631
hznp,1492426
iaa,1745041
iac,1800227
iart,917520
ias,1842718
iau,1278680
iba,1044896
ibkr,1381197
ibm,51143
ibn,1103838
iboc,315709
ibp,1580905
ibtx,1564618
ice,1571949
icl,941221
iclr,1060955
icui,883984
ida,1057877
idcc,1405495
idxx,874716
iep,813762
iex,832101
iff,51253
ifs,1615903
igt,1619762
ihg,858446
ihrt,1400891
ihs,1876183
iipr,1677576
iivi,820318
ilmn,1110803
imo,49938
incy,879169
indb,776901
infa,1868778
infn,1138639
info,1598014
infy,1067491
ing,1039765
ingr,1046257
inmd,1742692
ino,1055726
insm,1104506
insp,1609550
inst,1841804
intc,50863
intu,896878
invh,1687229
ions,874015
iosp,1054905
iot,1642896
iova,1425205
ip,51434
ipar,822663
ipg,51644
ipgp,1111928
iq,1722608
iqv,1478242
ir,1699150
irbt,1159167
irdm,1418819
irm,1020569
irnt,1777946
irt,1466085
irtc,1388658
is,1837430
isbc,1594012
isrg,1035267
it,749251
itcb,1276671
itci,1567514
itgr,1114483
itri,780571
itt,216228
itub,1132597
itw,49826
ivr,1437071
ivz,914208
ix,1070304
j,52988
jamf,1721947
jazz,1232524
jbgs,1689796
jbht,728535
jbl,898293
jblu,1158463
jbt,1433660
jci,833444
jd,1549802
jef,96223
jeld,1674335
jhg,1274173
jhx,1159152
jjsf,785956
jkhy,779152
jll,1037976
jmia,1756708
jnj,200406
jnpr,1043604
jobs,1295484
joby,1819848
joe,745308
jpm,19617
jwn,72333
jxn,1822993
k,55067
kai,886346
kb,1445930
kbh,795266
kbr,1357615
kd,1867072
kdp,1418135
ken,1611005
kep,887225
kex,56047
key,91576
keys,1601046
kfy,56679
kgc,701818
khc,1637459
kim,879101
kkr,1404912
kl,1713443
klac,319201
klic,56978
kmb,55785
kmi,1506307
kmpr,860748
kmt,55242
kmx,1170010
knbe,1664998
knsl,1669162
