,Holder,Shares,Date Reported,% Out,Value
0,"Vanguard Group, Inc. (The)",1266332667,2021-09-29,0.07719999999999999,179186072380
1,Blackrock Inc.,1026223983,2021-09-29,0.0626,145210693594
2,"Berkshire Hathaway, Inc",887135554,2021-09-29,0.0541,125529680891
3,State Street Corporation,622163541,2021-09-29,0.0379,88036141051
4,"FMR, LLC",350617759,2021-09-29,0.021400000000000002,49612412898
5,"Geode Capital Management, LLC",259894947,2021-09-29,0.0158,36775135000
6,Northern Trust Corporation,195321532,2021-09-29,0.011899999999999999,27637996778
7,Price (T.Rowe) Associates Inc,188489966,2021-09-29,0.0115,26671330189
8,Norges Bank Investment Management,167580974,2020-12-30,0.0102,22236319440
9,Bank Of New York Mellon Corporation,149381117,2021-09-29,0.0091,21137428055
