,Holder,Shares,Date Reported,% Out,Value
0,"Vanguard Group, Inc. (The)",613781686,2021-09-29,0.0819,173037332917
1,Blackrock Inc.,507117032,2021-09-29,0.0676,142966433661
2,State Street Corporation,294432926,2021-09-29,0.0393,83006530497
3,"FMR, LLC",215731468,2021-09-29,0.0288,60819015458
4,Price (T.Rowe) Associates Inc,197579453,2021-09-29,0.0264,55701599389
5,"Geode Capital Management, LLC",126079812,2021-09-29,0.0168,35544420599
6,Capital World Investors,110359787,2021-09-29,0.0147,31112631151
7,Capital Research Global Investors,94282634,2021-09-29,0.0126,26580160177
8,Capital International Investors,91901445,2021-09-29,0.0123,25908855374
9,Northern Trust Corporation,88410999,2021-12-30,0.0118,29734387183
