Date,Dividends
2000-06-21,0.119
2000-09-20,0.277
2000-12-13,0.439
2001-03-12,0.243
2001-06-11,0.352
2001-10-02,0.393
2001-12-17,0.34
2002-03-11,0.293
2002-06-17,0.373
2002-09-16,0.394
2002-12-16,0.423
2003-03-10,0.335
2003-06-16,0.367
2003-09-15,0.421
2003-12-15,0.514
2003-12-16,0.388
2004-03-29,0.389
2004-06-28,0.405
2004-09-27,0.464
2004-12-27,0.845
2005-03-28,0.741
2005-06-21,0.387
2005-09-26,0.504
2005-12-23,0.514
2006-03-27,0.518
2006-06-23,0.528
2006-09-27,0.619
2006-12-21,0.708
2007-03-26,0.641
2007-06-29,0.667
2007-09-26,0.687
2007-12-27,0.798
2008-03-25,0.689
2008-06-24,0.632
2008-09-25,0.679
2008-12-24,0.662
2009-03-25,0.557
2009-06-23,0.48
2009-09-23,0.525
2009-12-24,0.598
2010-03-25,0.497
2010-06-23,0.496
2010-09-24,0.626
2010-12-23,0.616
2011-03-25,0.599
2011-06-23,0.605
2011-09-26,0.63
2011-12-22,0.77
2012-03-26,0.632
2012-06-19,0.639
2012-09-25,0.798
2012-12-19,0.93
2013-03-25,0.743
2013-06-26,0.808
2013-09-24,0.835
2013-12-23,0.959
2014-03-25,0.831
2014-06-24,0.915
2014-09-24,0.934
2014-12-24,1.103
2015-03-25,1.002
2015-06-24,1.181
2015-09-25,1.082
2015-12-24,1.187
2015-12-29,0.19
2016-03-23,1.11823
2016-06-21,0.998
2016-09-26,1.103
2016-12-21,1.304
2017-03-24,1.032
2017-06-27,1.117
2017-09-26,1.284
2017-12-19,1.273
2018-03-22,1.229
2018-06-26,1.281
2018-09-26,1.277
2018-12-17,1.442
2018-12-28,0.322
2019-03-20,1.13
2019-06-17,1.778
2019-09-24,1.483
2019-12-16,2.039
2020-03-25,1.531
2020-06-15,1.261
2020-09-23,1.506
2020-12-14,1.61
2021-03-25,1.311
2021-06-10,1.225
