,info
zip,92130
sector,Healthcare
fullTimeEmployees,570
longBusinessSummary,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of small molecule drugs that address unmet medical needs in central nervous system disorders. The company offers NUPLAZID (pimavanserin) for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis; Trofinetide, a novel synthetic analog for the treatment of Rett syndrome; ACP-044, a novel first-in-class orally administered non-opioid analgesic for treating acute and chronic pain; and ACP-319, a positive allosteric modulator of the muscarinic receptor for treating cognition and schizophrenia. It is also developing pimavanserin as a treatment for dementia-related psychosis and as an adjunctive treatment for schizophrenia; and pimavanserin as an adjunctive treatment for major depressive disorder. ACADIA Pharmaceuticals Inc. was founded in 1993 and is headquartered in San Diego, California."
city,San Diego
phone,858 558 2871
state,CA
country,United States
companyOfficers,[]
website,https://www.acadia-pharm.com
maxAge,1
address1,12830 El Camino Real
fax,858 212 0513
industry,Biotechnology
address2,Suite 400
ebitdaMargins,-0.28773
profitMargins,-0.40375
grossMargins,0.57067
operatingCashflow,-130028000
revenueGrowth,0.092
operatingMargins,-0.29542
ebitda,-136496992
targetLowPrice,18
recommendationKey,hold
grossProfits,154875000
freeCashflow,-37918000
targetMedianPrice,30
currentPrice,25.86
earningsGrowth,
currentRatio,7.265
returnOnAssets,-0.11576
numberOfAnalystOpinions,19
targetMeanPrice,28.89
debtToEquity,11.611
returnOnEquity,-0.31351998
targetHighPrice,42
totalCash,540291008
totalDebt,65827000
totalRevenue,474393984
totalCashPerShare,3.361
financialCurrency,USD
revenuePerShare,2.973
quickRatio,6.824
recommendationMean,2.7
exchange,NMS
shortName,ACADIA Pharmaceuticals Inc.
longName,ACADIA Pharmaceuticals Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,ACAD
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_683713
uuid,e64b7e43-7c59-3150-9bbf-f928af706124
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,6.502
beta3Year,
enterpriseToEbitda,-22.599
52WeekChange,
morningStarRiskRating,
forwardEps,-0.9
revenueQuarterlyGrowth,
sharesOutstanding,160756000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,3.528
sharesShort,6618407
sharesPercentSharesOut,0.041199997
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.91413003
netIncomeToCommon,-191536000
trailingEps,-1.2
lastDividendValue,
SandP52WeekChange,
priceToBook,7.3299317
heldPercentInsiders,0.00373
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,2.91
sharesShortPreviousMonthDate,1638230400
floatShares,118018996
beta,0.608717
enterpriseValue,3084673280
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,8.763075
dateShortInterest,1640908800
pegRatio,-0.93
ytdReturn,
forwardPE,-28.733335
lastCapGain,
shortPercentOfFloat,0.066700004
sharesShortPriorMonth,5805076
category,
fiveYearAverageReturn,
previousClose,26.63
regularMarketOpen,26.75
twoHundredDayAverage,21.122
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,27.185
navPrice,
averageDailyVolume10Day,1321230
regularMarketPreviousClose,26.63
fiftyDayAverage,23.7404
trailingAnnualDividendRate,
open,26.75
averageVolume10days,1321230
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,25.76
currency,USD
regularMarketVolume,827268
lastMarket,
maxSupply,
openInterest,
marketCap,4157150208
volumeAllCurrencies,
strikePrice,
averageVolume,1681737
dayLow,25.76
ask,26.15
askSize,2900
volume,827268
fiftyTwoWeekHigh,52.12
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,15.68
bid,25.5
tradeable,False
dividendYield,
bidSize,1300
dayHigh,27.185
regularMarketPrice,25.86
preMarketPrice,
logo_url,https://logo.clearbit.com/acadia-pharm.com
