,info
zip,02210
sector,Consumer Defensive
longBusinessSummary,"The Boston Beer Company, Inc. produces and sells alcohol beverages primarily in the United States. The company's flagship beer is Samuel Adams Boston Lager. It offers various beers, hard ciders, and hard seltzers under the Samuel Adams, Twisted Tea, Truly Hard Seltzer, Angry Orchard, Dogfish Head, Angel City, Coney Island, Concrete Beach brand names. The company markets and sells its products to a network of approximately 400 wholesalers in the United States, as well as international wholesalers, importers, or other agencies that in turn sell to retailers, such as grocery stores, club stores, convenience stores, liquor stores, bars, restaurants, stadiums, and other retail outlets. It also sells in products in Canada, Europe, Israel, Australia, New Zealand, the Caribbean, the Pacific Rim, Mexico, and Central and South America. The Boston Beer Company, Inc. was founded in 1984 and is based in Boston, Massachusetts."
city,Boston
phone,617 368 5000
state,MA
country,United States
companyOfficers,[]
website,https://www.bostonbeer.com
maxAge,1
address1,One Design Center Place
industry,Beverages—Brewers
address2,Suite 850
ebitdaMargins,0.06282
profitMargins,0.0070700003
grossMargins,0.38773
operatingCashflow,56297000
revenueGrowth,-0.245
operatingMargins,0.02779
ebitda,129270000
targetLowPrice,373
recommendationKey,buy
grossProfits,797792000
freeCashflow,-92406000
targetMedianPrice,475
currentPrice,378.26
earningsGrowth,
currentRatio,1.347
returnOnAssets,0.025799999
numberOfAnalystOpinions,14
targetMeanPrice,514.64
debtToEquity,6.252
returnOnEquity,0.015
targetHighPrice,670
totalCash,26853000
totalDebt,61483000
totalRevenue,2057622016
totalCashPerShare,2.208
financialCurrency,USD
revenuePerShare,167.559
quickRatio,0.521
recommendationMean,2.5
exchange,NYQ
shortName,"Boston Beer Company, Inc. (The)"
longName,"The Boston Beer Company, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,SAM
messageBoardId,finmb_339946
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.253
beta3Year,
enterpriseToEbitda,35.857
52WeekChange,-0.63272166
morningStarRiskRating,
forwardEps,20.07
revenueQuarterlyGrowth,
sharesOutstanding,10203600
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,80.855
sharesShort,388885
sharesPercentSharesOut,0.0317
fundFamily,
lastFiscalYearEnd,1640390400
heldPercentInstitutions,0.76347
netIncomeToCommon,14553000
trailingEps,1.17
lastDividendValue,
SandP52WeekChange,0.12185478
priceToBook,4.6782513
heldPercentInsiders,0.08417
nextFiscalYearEnd,1703462400
yield,
mostRecentQuarter,1640390400
shortRatio,1.4
sharesShortPreviousMonthDate,1640908800
floatShares,9331332
beta,0.802088
enterpriseValue,4635286528
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,2.2522922
dateShortInterest,1643587200
pegRatio,1.18
ytdReturn,
forwardPE,18.847036
lastCapGain,
shortPercentOfFloat,0.0542
sharesShortPriorMonth,696307
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,397.16
regularMarketOpen,397.06
twoHundredDayAverage,653.3096
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,399.86
navPrice,
averageDailyVolume10Day,241450
regularMarketPreviousClose,397.16
fiftyDayAverage,470.4296
trailingAnnualDividendRate,0
open,397.06
toCurrency,
averageVolume10days,241450
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,378.15
currency,USD
trailingPE,323.29916
regularMarketVolume,237291
lastMarket,
maxSupply,
openInterest,
marketCap,4634365952
volumeAllCurrencies,
strikePrice,
averageVolume,262369
dayLow,378.15
ask,378.26
askSize,800
volume,237291
fiftyTwoWeekHigh,1349.98
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,378.14
bid,375.01
tradeable,False
dividendYield,
bidSize,800
dayHigh,399.86
regularMarketPrice,378.26
preMarketPrice,
logo_url,https://logo.clearbit.com/bostonbeer.com
