,info
zip,01210
sector,Communication Services
fullTimeEmployees,47106
longBusinessSummary,"Grupo Televisa, S.A.B. operates as a media company in the Spanish-speaking world. The company operates in four segments: Cable, Sky, Content, and Other Businesses. The Cable segment operates cable multiple system and telecommunication facilities. It provides basic and premium television subscription, pay-per-view, installation, Internet subscription, and telephone and mobile services subscription, as well as local and national advertising sales; and data and long-distance services solutions to carriers and other telecommunications service providers through its fiber-optic network. The Sky segment offers direct-to-home broadcast satellite pay television services comprising program, installation, and equipment rental services to subscribers in Mexico, Central America, and the Dominican Republic; and national advertising sales. The Content segment produces television programming and broadcasts Channels 2, 4, 5, and 9; sells advertising time on programs; provides Internet services; and produces television programming and broadcasting for local television stations in Mexico. It also offers programming services for cable and pay-per-view television companies in Mexico, other countries in Latin America, the United States, and Europe; and licenses and syndicates television programming. The Other Businesses segment is involved in sports and show business promotion, soccer, feature film production and distribution, gaming, publishing, and publishing distribution businesses. Grupo Televisa, S.A.B. was founded in 1969 and is headquartered in Mexico City, Mexico."
city,Mexico City
phone,52 55 5261 2000
state,DF
country,Mexico
companyOfficers,[]
website,https://www.televisa.com
maxAge,1
address1,Av. Vasco de Quiroga No. 2000
fax,52 55 5261 2546
industry,Broadcasting
address2,Ãlvaro ObregÃ³n
ebitdaMargins,0.38737
profitMargins,0.055320002
grossMargins,0.42214
operatingCashflow,27545925632
revenueGrowth,0.091
operatingMargins,0.18546
ebitda,39702904832
targetLowPrice,12
recommendationKey,hold
grossProfits,40371979000
freeCashflow,123627000
targetMedianPrice,16.5
currentPrice,9.6
earningsGrowth,-0.766
currentRatio,1.347
returnOnAssets,0.04048
numberOfAnalystOpinions,5
targetMeanPrice,15.9
debtToEquity,144.147
returnOnEquity,0.0758
targetHighPrice,21
totalCash,21714503680
totalDebt,134643236864
totalRevenue,102492659712
totalCashPerShare,19.387
financialCurrency,MXN
revenuePerShare,183.235
quickRatio,1.054
recommendationMean,2.7
exchange,NYQ
shortName,Grupo Televisa S.A.
longName,"Grupo Televisa, S.A.B."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,TV
messageBoardId,finmb_337507
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.355
beta3Year,
enterpriseToEbitda,3.499
52WeekChange,0.13441479
morningStarRiskRating,
forwardEps,0.14
revenueQuarterlyGrowth,
sharesOutstanding,560043008
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,139.975
sharesShort,2605064
sharesPercentSharesOut,0.0047
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.46308
netIncomeToCommon,5670198784
trailingEps,0.465
lastDividendValue,0.088
SandP52WeekChange,0.14073396
priceToBook,0.068583675
heldPercentInsiders,0
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,2.24
sharesShortPreviousMonthDate,1638230400
floatShares,815272630
beta,0.796017
enterpriseValue,138908532736
priceHint,2
threeYearAverageReturn,
lastSplitDate,1142985600
lastSplitFactor,4:1
legalType,
lastDividendDate,1622073600
morningStarOverallRating,
earningsQuarterlyGrowth,-0.773
priceToSalesTrailing12Months,0.05245657
dateShortInterest,1640908800
pegRatio,2.81
ytdReturn,
forwardPE,68.571434
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,1890823
impliedSharesOutstanding,
category,
fiveYearAverageReturn,
previousClose,9.79
regularMarketOpen,9.8
twoHundredDayAverage,11.91435
trailingAnnualDividendYield,0.035750765
payoutRatio,0.17889999
volume24Hr,
regularMarketDayHigh,9.84
navPrice,
averageDailyVolume10Day,1289910
regularMarketPreviousClose,9.79
fiftyDayAverage,9.7166
trailingAnnualDividendRate,0.35
open,9.8
toCurrency,
averageVolume10days,1289910
expireDate,
algorithm,
dividendRate,0.09
exDividendDate,1622073600
circulatingSupply,
startDate,
regularMarketDayLow,9.14
currency,USD
trailingPE,20.645163
regularMarketVolume,1226980
lastMarket,
maxSupply,
openInterest,
marketCap,5376413184
volumeAllCurrencies,
strikePrice,
averageVolume,1284383
dayLow,9.14
ask,9.55
askSize,1800
volume,1226980
fiftyTwoWeekHigh,15.06
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,7.15
bid,9.63
tradeable,False
dividendYield,0.0089
bidSize,1300
dayHigh,9.84
regularMarketPrice,9.6
preMarketPrice,9.6701
logo_url,https://logo.clearbit.com/televisa.com
