,info
zip,94080
sector,Healthcare
fullTimeEmployees,652
longBusinessSummary,"Twist Bioscience Corporation, a synthetic biology company, manufactures and sells synthetic DNA-based products. The company's DNA synthesis platform enables the manufacturing of synthetic DNA by writing DNA on a silicon chip. It offers synthetic DNA-based products, including synthetic genes, tools for sample preparation, antibody libraries for drug discovery and development, and DNA as a digital data storage medium. The company has collaboration agreements with Victorian Clinical Genetic Services; Vivlion GmbH.; Kyowa Kirin Pharmaceutical Research, Inc.; deepCDR Biologics AG; and Centogene N.V to develop advanced sequencing tools. It also has a research collaboration with Boehringer Ingelheim International GmbH to use proprietary antibody libraries to discover therapeutic antibodies against multiple targets. Twist Bioscience Corporation was incorporated in 2013 and is headquartered in South San Francisco, California."
city,South San Francisco
phone,800 719 0671
state,CA
country,United States
companyOfficers,[]
website,https://www.twistbioscience.com
maxAge,1
address1,681 Gateway Boulevard
industry,Diagnostics & Research
ebitdaMargins,-1.1556
profitMargins,-1.12703
grossMargins,0.38769
operatingCashflow,-133965000
revenueGrowth,0.492
operatingMargins,-1.22603
ebitda,-168936992
targetLowPrice,65
recommendationKey,buy
grossProfits,51713000
freeCashflow,-85459504
targetMedianPrice,70
currentPrice,53.21
earningsGrowth,
currentRatio,4.811
returnOnAssets,-0.15079
numberOfAnalystOpinions,6
targetMeanPrice,75.83
debtToEquity,11.653
returnOnEquity,-0.26067
targetHighPrice,105
totalCash,301859008
totalDebt,72969000
totalRevenue,146190000
totalCashPerShare,5.932
financialCurrency,USD
revenuePerShare,2.97
quickRatio,4.182
recommendationMean,2.3
exchange,NMS
shortName,Twist Bioscience Corporation
longName,Twist Bioscience Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,TWST
messageBoardId,finmb_242825322
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,16.955
beta3Year,
enterpriseToEbitda,-14.672
52WeekChange,-0.61220026
morningStarRiskRating,
forwardEps,-4.69
revenueQuarterlyGrowth,
sharesOutstanding,56112300
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,12.342
sharesShort,5445255
sharesPercentSharesOut,0.1073
fundFamily,
lastFiscalYearEnd,1632960000
heldPercentInstitutions,0.90444
netIncomeToCommon,-164760992
trailingEps,-3.347
lastDividendValue,
SandP52WeekChange,0.12185478
priceToBook,4.3112946
heldPercentInsiders,0.07041
nextFiscalYearEnd,1696032000
yield,
mostRecentQuarter,1640908800
shortRatio,5.81
sharesShortPreviousMonthDate,1640908800
floatShares,48767231
beta,0.88423
enterpriseValue,2478704384
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,20.423664
dateShortInterest,1643587200
pegRatio,-0.07
ytdReturn,
forwardPE,-11.345415
lastCapGain,
shortPercentOfFloat,0.108500004
sharesShortPriorMonth,4888450
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,55.24
regularMarketOpen,54.9
twoHundredDayAverage,100.13015
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,55.699
navPrice,
averageDailyVolume10Day,1238570
regularMarketPreviousClose,55.24
fiftyDayAverage,67.5198
trailingAnnualDividendRate,0
open,54.9
toCurrency,
averageVolume10days,1238570
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,52.56
currency,USD
regularMarketVolume,724856
lastMarket,
maxSupply,
openInterest,
marketCap,2985735424
volumeAllCurrencies,
strikePrice,
averageVolume,915764
dayLow,52.56
ask,55.6
askSize,800
volume,724856
fiftyTwoWeekHigh,151.79
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,48.63
bid,53.62
tradeable,False
dividendYield,
bidSize,900
dayHigh,55.699
regularMarketPrice,53.21
preMarketPrice,
logo_url,https://logo.clearbit.com/twistbioscience.com
