,info
zip,200030
sector,Consumer Cyclical
longBusinessSummary,"Yum China Holdings, Inc. owns, operates, and franchises restaurants in China. The company operates through two segments, KFC and Pizza Hut. It operates restaurants under the KFC, Pizza Hut, Little Sheep, Huang Ji Huang, COFFii & JOY, East Dawning, Taco Bell, and Lavazza brands, which specialize in chicken, pizza, hot pot cooking, Chinese food, Mexican-style food, specialty coffee, simmer pot, and Italian coffee categories. The company also provides online food delivery services. In addition, it operates franchise restaurants under the KFC, Pizza Hut, Huang Ji Huang, Taco Bell, Little Sheep, East Dawning, Lavazza, and COFFii & JOY names. As of September 30, 2021, the company operated 11,415 restaurants in approximately 1,600 cities. Yum China Holdings, Inc. was incorporated in 2016 and is headquartered in Shanghai, China."
city,Shanghai
phone,86 21 2407 7777
country,China
companyOfficers,[]
website,https://www.yumchina.com
maxAge,1
address1,Yum China Building
fax,86 21 2407 8888
industry,Restaurants
address2,20 Tian Yao Qiao Road
ebitdaMargins,0.19649
profitMargins,0.100480005
grossMargins,0.1427
operatingCashflow,1131000064
revenueGrowth,0.014
operatingMargins,0.14412
ebitda,1936000000
targetLowPrice,320.4
recommendationKey,buy
grossProfits,1406000000
freeCashflow,1474499968
targetMedianPrice,469.84
currentPrice,52.42
earningsGrowth,2.165
currentRatio,1.979
returnOnAssets,0.07366
numberOfAnalystOpinions,15
targetMeanPrice,475.07
debtToEquity,29.361
returnOnEquity,0.14215
targetHighPrice,658.9
totalCash,3996000000
totalDebt,2326000128
totalRevenue,9852999680
totalCashPerShare,9.334
financialCurrency,USD
revenuePerShare,23.348
quickRatio,1.705
recommendationMean,1.9
exchange,NYQ
shortName,"Yum China Holdings, Inc."
longName,"Yum China Holdings, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,YUMC
messageBoardId,finmb_318807568
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.196
beta3Year,
enterpriseToEbitda,11.177
52WeekChange,-0.14764225
morningStarRiskRating,
forwardEps,17.31
revenueQuarterlyGrowth,
sharesOutstanding,428127008
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,16.481
sharesShort,8109553
sharesPercentSharesOut,0.0189
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.86404
netIncomeToCommon,990000000
trailingEps,2.28
lastDividendValue,0.12
SandP52WeekChange,0.12185478
priceToBook,3.1806319
heldPercentInsiders,0.0018600001
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,3.56
sharesShortPreviousMonthDate,1640908800
floatShares,427103684
beta,0.780706
enterpriseValue,21638412288
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1637625600
morningStarOverallRating,
earningsQuarterlyGrowth,2.146
priceToSalesTrailing12Months,2.2777243
dateShortInterest,1643587200
pegRatio,0.28
ytdReturn,
forwardPE,3.0283074
lastCapGain,
shortPercentOfFloat,0.021
sharesShortPriorMonth,10019959
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,51.93
regularMarketOpen,51.71
twoHundredDayAverage,57.75095
trailingAnnualDividendYield,0.009243212
payoutRatio,0.21049999
volume24Hr,
regularMarketDayHigh,52.87
navPrice,
averageDailyVolume10Day,3568100
regularMarketPreviousClose,51.93
fiftyDayAverage,48.2868
trailingAnnualDividendRate,0.48
open,51.71
toCurrency,
averageVolume10days,3568100
expireDate,
algorithm,
dividendRate,0.48
exDividendDate,1646611200
circulatingSupply,
startDate,
regularMarketDayLow,51.6
currency,USD
trailingPE,22.991228
regularMarketVolume,1582187
lastMarket,
maxSupply,
openInterest,
marketCap,22442416128
volumeAllCurrencies,
strikePrice,
averageVolume,2480850
dayLow,51.6
ask,54.5
askSize,1000
volume,1582187
fiftyTwoWeekHigh,69.67
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,43.91
bid,52.1
tradeable,False
dividendYield,0.0092
bidSize,1100
dayHigh,52.87
regularMarketPrice,52.42
preMarketPrice,
logo_url,https://logo.clearbit.com/yumchina.com
