,info
zip,40213
sector,Consumer Cyclical
longBusinessSummary,"YUM! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. It operates through four segments: the KFC Division, the Pizza Hut Division, the Taco Bell Division, and the Habit Burger Grill Division. The company operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. As of December 31, 2020, it had 25,000 KFC units; 17,639 Pizza Hut units; 7,427 Taco Bell units; and 287 The Habit Burger Grill units in approximately 150 countries and territories. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to YUM! Brands, Inc. in May 2002. YUM! Brands, Inc. was founded in 1997 and is headquartered in Louisville, Kentucky."
city,Louisville
phone,502 874 8300
state,KY
country,United States
companyOfficers,[]
website,https://www.yum.com
maxAge,1
address1,1441 Gardiner Lane
industry,Restaurants
ebitdaMargins,0.34964
profitMargins,0.23922001
grossMargins,0.48086
operatingCashflow,1706000000
revenueGrowth,0.084
operatingMargins,0.32473
ebitda,2302000128
targetLowPrice,124
recommendationKey,buy
grossProfits,3166000000
freeCashflow,1168249984
targetMedianPrice,143
currentPrice,125.8
earningsGrowth,0.028
currentRatio,1.083
returnOnAssets,0.22614
numberOfAnalystOpinions,21
targetMeanPrice,142.72
debtToEquity,
returnOnEquity,
targetHighPrice,157
totalCash,486000000
totalDebt,11246000128
totalRevenue,6584000000
totalCashPerShare,1.682
financialCurrency,USD
revenuePerShare,22.168
quickRatio,0.765
recommendationMean,2.5
exchange,NYQ
shortName,"Yum! Brands, Inc."
longName,"Yum! Brands, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,YUM
messageBoardId,finmb_365997
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,7.156
beta3Year,
enterpriseToEbitda,20.468
52WeekChange,0.19798112
morningStarRiskRating,
forwardEps,5.55
revenueQuarterlyGrowth,
sharesOutstanding,289000000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,-28.972
sharesShort,2854443
sharesPercentSharesOut,0.0097
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.80467004
netIncomeToCommon,1575000064
trailingEps,5.21
lastDividendValue,0.57
SandP52WeekChange,0.12185478
priceToBook,
heldPercentInsiders,0.00162
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,1.5
sharesShortPreviousMonthDate,1640908800
floatShares,287728400
beta,1.109398
enterpriseValue,47116201984
priceHint,2
threeYearAverageReturn,
lastSplitDate,1477958400
lastSplitFactor,1391:1000
legalType,
lastDividendDate,1645056000
morningStarOverallRating,
earningsQuarterlyGrowth,-0.006
priceToSalesTrailing12Months,5.521902
dateShortInterest,1643587200
pegRatio,2.01
ytdReturn,
forwardPE,22.666666
lastCapGain,
shortPercentOfFloat,0.0109
sharesShortPriorMonth,5005220
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,123.48
regularMarketOpen,123.24
twoHundredDayAverage,125.57145
trailingAnnualDividendYield,0.016763847
payoutRatio,0.3839
volume24Hr,
regularMarketDayHigh,126.9
navPrice,
averageDailyVolume10Day,2685120
regularMarketPreviousClose,123.48
fiftyDayAverage,129.2296
trailingAnnualDividendRate,2.07
open,123.24
toCurrency,
averageVolume10days,2685120
expireDate,
algorithm,
dividendRate,2.28
exDividendDate,1645056000
circulatingSupply,
startDate,
regularMarketDayLow,123.1
currency,USD
trailingPE,24.145874
regularMarketVolume,2359436
lastMarket,
maxSupply,
openInterest,
marketCap,36356202496
volumeAllCurrencies,
strikePrice,
averageVolume,1772833
dayLow,123.1
ask,125.8
askSize,1000
volume,2359436
fiftyTwoWeekHigh,139.85
fromCurrency,
fiveYearAvgDividendYield,1.73
fiftyTwoWeekLow,101.94
bid,120
tradeable,False
dividendYield,0.018099999
bidSize,800
dayHigh,126.9
regularMarketPrice,125.8
preMarketPrice,
logo_url,https://logo.clearbit.com/yum.com
