,info
zip,75062
sector,Communication Services
fullTimeEmployees,11086
longBusinessSummary,"Nexstar Media Group, Inc., a television broadcasting and digital media company, focuses on the acquisition, development, and operation of television stations and interactive community websites and digital media services in the United States. The company offers free programming to television viewing audiences. As of December 31, 2020, it provided sales, programming, and other services through various local service agreements to 37 power television stations owned by independent third parties; and owned, operated, programmed, or provided sales and other services to 198 television stations. The company also offers video and display advertising platforms that are delivered locally or nationally through its own and various third party websites and mobile applications, as well as owns WGN America, a national general entertainment cable network. Its stations are affiliates of ABC, NBC, FOX, CBS, The CW, MyNetworkTV, and other broadcast television networks. The company was formerly known as Nexstar Broadcasting Group, Inc. and changed its name to Nexstar Media Group, Inc. in January 2017. Nexstar Media Group, Inc. was founded in 1996 and is headquartered in Irving, Texas."
city,Irving
phone,972 373 8800
state,TX
country,United States
companyOfficers,[]
website,https://www.nexstar.tv
maxAge,1
address1,545 East John Carpenter Freeway
fax,972 373 8888
industry,Broadcasting
address2,Suite 700
ebitdaMargins,0.39808998
profitMargins,0.19559999
grossMargins,0.62308997
operatingCashflow,1258336000
revenueGrowth,0.035
operatingMargins,0.30306
ebitda,1902557952
targetLowPrice,180
recommendationKey,buy
grossProfits,2805149000
freeCashflow,1041852480
targetMedianPrice,187
currentPrice,176.95
earningsGrowth,-0.044
currentRatio,1.845
returnOnAssets,0.06813
numberOfAnalystOpinions,9
targetMeanPrice,189.89
debtToEquity,298.051
returnOnEquity,0.38092998
targetHighPrice,200
totalCash,193831008
totalDebt,7848962048
totalRevenue,4779144192
totalCashPerShare,4.74
financialCurrency,USD
revenuePerShare,111.594
quickRatio,1.571
recommendationMean,1.6
exchange,NMS
shortName,"Nexstar Media Group, Inc."
longName,"Nexstar Media Group, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,NXST
messageBoardId,finmb_518638
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.136
beta3Year,
enterpriseToEbitda,7.876
52WeekChange,0.40467966
morningStarRiskRating,
forwardEps,25.41
revenueQuarterlyGrowth,
sharesOutstanding,40891200
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,63.534
sharesShort,1794152
sharesPercentSharesOut,0.043899998
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.97479
netIncomeToCommon,934822016
trailingEps,20.895
lastDividendValue,0.9
SandP52WeekChange,0.12359536
priceToBook,2.7851229
heldPercentInsiders,0.0428
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,3.94
sharesShortPreviousMonthDate,1640908800
floatShares,39071575
beta,1.571357
enterpriseValue,14985255936
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1644451200
morningStarOverallRating,
earningsQuarterlyGrowth,-0.111
priceToSalesTrailing12Months,1.5140153
dateShortInterest,1643587200
pegRatio,0.64
ytdReturn,
forwardPE,6.9637938
lastCapGain,
shortPercentOfFloat,0.0458
sharesShortPriorMonth,1852469
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,178.9
regularMarketOpen,179.38
twoHundredDayAverage,152.36066
trailingAnnualDividendYield,0.014868643
payoutRatio,0.1284
volume24Hr,
regularMarketDayHigh,180.8633
navPrice,
averageDailyVolume10Day,371050
regularMarketPreviousClose,178.9
fiftyDayAverage,158.168
trailingAnnualDividendRate,2.66
open,179.38
toCurrency,
averageVolume10days,371050
expireDate,
algorithm,
dividendRate,3.6
exDividendDate,1644451200
circulatingSupply,
startDate,
regularMarketDayLow,175.6
currency,USD
trailingPE,8.468533
regularMarketVolume,233595
lastMarket,
maxSupply,
openInterest,
marketCap,7235697664
volumeAllCurrencies,
strikePrice,
averageVolume,391358
dayLow,175.6
ask,176.92
askSize,800
volume,233595
fiftyTwoWeekHigh,185.55
fromCurrency,
fiveYearAvgDividendYield,1.85
fiftyTwoWeekLow,123.89
bid,176.62
tradeable,False
dividendYield,0.0201
bidSize,1000
dayHigh,180.8633
regularMarketPrice,176.95
preMarketPrice,178.9
logo_url,https://logo.clearbit.com/nexstar.tv
