,info
zip,02141
sector,Technology
fullTimeEmployees,5895
longBusinessSummary,"HubSpot, Inc. provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes marketing, sales, service, and content management systems, as well as integrated applications, such as search engine optimization, blogging, website content management, messaging, chatbots, social media, marketing automation, email, predictive lead scoring, sales productivity, knowledge base, commerce, conversation routing, video hosting, ticketing and helpdesk tools, customer NPS surveys, analytics, and reporting. It also offers professional services to educate and train customers on how to leverage its CRM platform, as well as phone and/or email and chat-based support services. The company serves mid-market business-to-business companies. HubSpot, Inc. was incorporated in 2005 and is headquartered in Cambridge, Massachusetts."
city,Cambridge
phone,888 482 7768
state,MA
country,United States
companyOfficers,[]
website,https://www.hubspot.com
maxAge,1
address1,25 First Street
fax,617 812 5820
industry,Software—Application
address2,2nd Floor
ebitdaMargins,-0.025090002
profitMargins,-0.05984
grossMargins,0.80098
operatingCashflow,238728000
revenueGrowth,0.465
operatingMargins,-0.042129997
ebitda,-32640000
targetLowPrice,575
recommendationKey,buy
grossProfits,1041801000
freeCashflow,234348368
targetMedianPrice,700
currentPrice,497.59
earningsGrowth,
currentRatio,2.354
returnOnAssets,-0.01651
numberOfAnalystOpinions,23
targetMeanPrice,732.09
debtToEquity,81.594
returnOnEquity,-0.09513
targetHighPrice,925
totalCash,1197975040
totalDebt,712968000
totalRevenue,1300658048
totalCashPerShare,25.184
financialCurrency,USD
revenuePerShare,27.738
quickRatio,2.195
recommendationMean,1.8
exchange,NYQ
shortName,"HubSpot, Inc."
longName,"HubSpot, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,HUBS
messageBoardId,finmb_27629813
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,17.826
beta3Year,
enterpriseToEbitda,-710.326
52WeekChange,-0.057898045
morningStarRiskRating,
forwardEps,3.36
revenueQuarterlyGrowth,
sharesOutstanding,47569400
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,18.091
sharesShort,2256019
sharesPercentSharesOut,0.0477
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.93566
netIncomeToCommon,-77837000
trailingEps,-1.66
lastDividendValue,
SandP52WeekChange,0.12185478
priceToBook,27.504837
heldPercentInsiders,0.049790002
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,2.16
sharesShortPreviousMonthDate,1640908800
floatShares,45225170
beta,1.71805
enterpriseValue,23185045504
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,18.198524
dateShortInterest,1643587200
pegRatio,5.92
ytdReturn,
forwardPE,148.09227
lastCapGain,
shortPercentOfFloat,0.0502
sharesShortPriorMonth,2138548
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,507.58
regularMarketOpen,516.56
twoHundredDayAverage,631.8148
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,520.14
navPrice,
averageDailyVolume10Day,966660
regularMarketPreviousClose,507.58
fiftyDayAverage,554.5754
trailingAnnualDividendRate,0
open,516.56
toCurrency,
averageVolume10days,966660
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,496.36
currency,USD
regularMarketVolume,542893
lastMarket,
maxSupply,
openInterest,
marketCap,23670056960
volumeAllCurrencies,
strikePrice,
averageVolume,824712
dayLow,496.36
ask,497.5
askSize,900
volume,542893
fiftyTwoWeekHigh,866
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,403
bid,450
tradeable,False
dividendYield,
bidSize,900
dayHigh,520.14
regularMarketPrice,497.59
preMarketPrice,
logo_url,https://logo.clearbit.com/hubspot.com
