,info
zip,94538
sector,Technology
fullTimeEmployees,2260
longBusinessSummary,"Enphase Energy, Inc., together with its subsidiaries, designs, develops, manufactures, and sells home energy solutions for the solar photovoltaic industry in the United States and internationally. The company offers semiconductor-based microinverter, which converts energy at the individual solar module level, and combines with its proprietary networking and software technologies to provide energy monitoring and control services. It also offers AC battery storage systems; Envoy communications gateway; and Enlighten cloud-based monitoring service, as well as other accessories. The company sells its solutions to solar distributors; and directly to large installers, original equipment manufacturers, strategic partners, and homeowners, as well as through its legacy product upgrade program or online store. Enphase Energy, Inc. was incorporated in 2006 and is headquartered in Fremont, California."
city,Fremont
phone,877 774 7000
state,CA
country,United States
companyOfficers,[]
website,https://www.enphase.com
maxAge,1
address1,47281 Bayside Parkway
industry,Solar
ebitdaMargins,0.18052
profitMargins,0.10524
grossMargins,0.40116
operatingCashflow,352028000
revenueGrowth,0.558
operatingMargins,0.15970999
ebitda,249490000
targetLowPrice,155
recommendationKey,buy
grossProfits,554422000
freeCashflow,202596496
targetMedianPrice,223.5
currentPrice,140.35
earningsGrowth,-0.256
currentRatio,3.325
returnOnAssets,0.084139995
numberOfAnalystOpinions,24
targetMeanPrice,222.38
debtToEquity,244.88
returnOnEquity,0.31821
targetHighPrice,290
totalCash,1016651008
totalDebt,1053395968
totalRevenue,1382049024
totalCashPerShare,7.591
financialCurrency,USD
revenuePerShare,10.312
quickRatio,3.128
recommendationMean,2.1
exchange,NGM
shortName,"Enphase Energy, Inc."
longName,"Enphase Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,ENPH
messageBoardId,finmb_40485464
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,14.405
beta3Year,
enterpriseToEbitda,79.798
52WeekChange,-0.16388655
morningStarRiskRating,
forwardEps,3.97
revenueQuarterlyGrowth,
sharesOutstanding,133936000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,3.213
sharesShort,3151439
sharesPercentSharesOut,0.0234
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.73108
netIncomeToCommon,145448992
trailingEps,1.019
lastDividendValue,
SandP52WeekChange,0.12185478
priceToBook,43.68192
heldPercentInsiders,0.02321
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,1.04
sharesShortPreviousMonthDate,1640908800
floatShares,131121588
beta,1.330183
enterpriseValue,19908765696
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,-0.279
priceToSalesTrailing12Months,13.601484
dateShortInterest,1643587200
pegRatio,3.2
ytdReturn,
forwardPE,35.352646
lastCapGain,
shortPercentOfFloat,0.0272
sharesShortPriorMonth,4310350
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,148.37
regularMarketOpen,148.44
twoHundredDayAverage,173.6048
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,148.96
navPrice,
averageDailyVolume10Day,5298130
regularMarketPreviousClose,148.37
fiftyDayAverage,159.7466
trailingAnnualDividendRate,0
open,148.44
toCurrency,
averageVolume10days,5298130
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,139.28
currency,USD
trailingPE,137.73308
regularMarketVolume,2610282
lastMarket,
maxSupply,
openInterest,
marketCap,18797918208
volumeAllCurrencies,
strikePrice,
averageVolume,3004259
dayLow,139.28
ask,140.92
askSize,800
volume,2610282
fiftyTwoWeekHigh,282.46
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,108.88
bid,139.25
tradeable,False
dividendYield,
bidSize,1400
dayHigh,148.96
regularMarketPrice,140.35
preMarketPrice,
logo_url,https://logo.clearbit.com/enphase.com
