,info
zip,02110
sector,Real Estate
fullTimeEmployees,24000
longBusinessSummary,"Iron Mountain Incorporated (NYSE: IRM), founded in 1951, is the global leader for storage and information management services. Trusted by more than 225,000 organizations around the world, and with a real estate network of more than 90 million square feet across approximately 1,450 facilities in approximately 50 countries, Iron Mountain stores and protects billions of valued assets, including critical business information, highly sensitive data, and cultural and historical artifacts. Providing solutions that include secure records storage, information management, digital transformation, secure destruction, as well as data centers, cloud services and art storage and logistics, Iron Mountain helps customers lower cost and risk, comply with regulations, recover from disaster, and enable a more digital way of working."
city,Boston
phone,617-535-4766
state,MA
country,United States
companyOfficers,[]
website,https://www.ironmountain.com
maxAge,1
address1,One Federal Street
industry,REIT—Specialty
ebitdaMargins,0.33969003
profitMargins,0.14482
grossMargins,0.57706
operatingCashflow,823776000
revenueGrowth,0.09
operatingMargins,0.19632
ebitda,1491800064
targetLowPrice,18
recommendationKey,buy
grossProfits,2397576000
freeCashflow,250601504
targetMedianPrice,50
currentPrice,43.01
earningsGrowth,0.769
currentRatio,0.695
returnOnAssets,0.038599998
numberOfAnalystOpinions,8
targetMeanPrice,43.75
debtToEquity,1114.843
returnOnEquity,0.62629
targetHighPrice,56
totalCash,161439008
totalDebt,11555749888
totalRevenue,4391597056
totalCashPerShare,0.558
financialCurrency,USD
revenuePerShare,15.193
quickRatio,0.573
recommendationMean,2.4
exchange,NYQ
shortName,Iron Mountain Incorporated (Del
longName,Iron Mountain Incorporated
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,IRM
messageBoardId,finmb_30292
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,5.445
beta3Year,
enterpriseToEbitda,16.028
52WeekChange,0.3520906
morningStarRiskRating,
forwardEps,1.65
revenueQuarterlyGrowth,
sharesOutstanding,289550016
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,3.363
sharesShort,23228007
sharesPercentSharesOut,0.0802
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.81922996
netIncomeToCommon,635980992
trailingEps,2.197
lastDividendValue,0.619
SandP52WeekChange,0.12185478
priceToBook,12.789176
heldPercentInsiders,0.00825
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,7.6
sharesShortPreviousMonthDate,1640908800
floatShares,286920389
beta,0.900049
enterpriseValue,23910488064
priceHint,2
threeYearAverageReturn,
lastSplitDate,1411689600
lastSplitFactor,1082:1000
legalType,
lastDividendDate,1639440000
morningStarOverallRating,
earningsQuarterlyGrowth,0.763
priceToSalesTrailing12Months,2.835767
dateShortInterest,1643587200
pegRatio,4.51
ytdReturn,
forwardPE,26.066666
lastCapGain,
shortPercentOfFloat,0.1112
sharesShortPriorMonth,26260835
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,43.57
regularMarketOpen,43.46
twoHundredDayAverage,45.57925
trailingAnnualDividendYield,0.05678219
payoutRatio,1.1244999
volume24Hr,
regularMarketDayHigh,43.84
navPrice,
averageDailyVolume10Day,1501700
regularMarketPreviousClose,43.57
fiftyDayAverage,47.1166
trailingAnnualDividendRate,2.474
open,43.46
toCurrency,
averageVolume10days,1501700
expireDate,
algorithm,
dividendRate,2.47
exDividendDate,1639440000
circulatingSupply,
startDate,
regularMarketDayLow,42.96
currency,USD
trailingPE,19.576694
regularMarketVolume,1659905
lastMarket,
maxSupply,
openInterest,
marketCap,12453545984
volumeAllCurrencies,
strikePrice,
averageVolume,2213254
dayLow,42.96
ask,43.9
askSize,800
volume,1659905
fiftyTwoWeekHigh,53.14
fromCurrency,
fiveYearAvgDividendYield,6.98
fiftyTwoWeekLow,31.58
bid,40
tradeable,False
dividendYield,0.0575
bidSize,900
dayHigh,43.84
regularMarketPrice,43.01
preMarketPrice,
logo_url,https://logo.clearbit.com/ironmountain.com
