,info
zip,77024
sector,Energy
fullTimeEmployees,660
longBusinessSummary,"Cactus, Inc. designs, manufactures, sells, and rents a range of wellheads and pressure control equipment in the United States. The company's principal products include Cactus SafeDrill wellhead systems, Cactus SafeLink monobore, SafeClamp, and SafeInject systems, as well as frac stacks, zipper manifolds, and production trees. It also provides mission-critical field services, such as 24-hour service crews to assist with the installation, maintenance, repair, and safe handling of the wellhead and pressure control equipment; and repair and refurbishment services. The company sells or rents its products for onshore unconventional oil and gas wells that are utilized during the drilling, completion, and production phases of its customers' wells. It operates 14 service centers in the United States, as well as 3 service centers in Eastern Australia. Cactus, Inc. was founded in 2011 and is headquartered in Houston, Texas."
city,Houston
phone,713 626 8800
state,TX
country,United States
companyOfficers,[]
website,https://www.cactuswhd.com
maxAge,1
address1,920 Memorial City Way
industry,Oil & Gas Equipment & Services
address2,Suite 300
ebitdaMargins,0.25182
profitMargins,0.10025
grossMargins,0.26615
operatingCashflow,73979000
revenueGrowth,0.93
operatingMargins,0.15431
ebitda,94876000
targetLowPrice,45
recommendationKey,buy
grossProfits,111618000
freeCashflow,55668876
targetMedianPrice,48
currentPrice,48.62
earningsGrowth,0.632
currentRatio,5.592
returnOnAssets,0.04093
numberOfAnalystOpinions,9
targetMeanPrice,48.5
debtToEquity,5.661
returnOnEquity,0.094510004
targetHighPrice,54
totalCash,301974016
totalDebt,32816000
totalRevenue,376763008
totalCashPerShare,5.123
financialCurrency,USD
revenuePerShare,7.17
quickRatio,4.336
recommendationMean,1.7
exchange,NYQ
shortName,"Cactus, Inc. Class A Common Sto"
longName,"Cactus, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,WHD
messageBoardId,finmb_429432837
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,7.358
beta3Year,
enterpriseToEbitda,29.22
52WeekChange,0.6840136
morningStarRiskRating,
forwardEps,1.33
revenueQuarterlyGrowth,
sharesOutstanding,59000000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,7.75
sharesShort,1402931
sharesPercentSharesOut,0.0238
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,1.04628
netIncomeToCommon,37771000
trailingEps,0.657
lastDividendValue,0.1
SandP52WeekChange,0.12359536
priceToBook,6.273548
heldPercentInsiders,0.0066500003
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,3.4
sharesShortPreviousMonthDate,1640908800
floatShares,58555369
beta,2.103646
enterpriseValue,2772243456
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1637884800
morningStarOverallRating,
earningsQuarterlyGrowth,1.024
priceToSalesTrailing12Months,7.6137514
dateShortInterest,1643587200
pegRatio,1.71
ytdReturn,
forwardPE,36.55639
lastCapGain,
shortPercentOfFloat,0.0239
sharesShortPriorMonth,1066513
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,49.51
regularMarketOpen,49.11
twoHundredDayAverage,39.0632
trailingAnnualDividendYield,0.0074732383
payoutRatio,0.56060004
volume24Hr,
regularMarketDayHigh,49.92
navPrice,
averageDailyVolume10Day,357810
regularMarketPreviousClose,49.51
fiftyDayAverage,42.5758
trailingAnnualDividendRate,0.37
open,49.11
toCurrency,
averageVolume10days,357810
expireDate,
algorithm,
dividendRate,0.44
exDividendDate,1645747200
circulatingSupply,
startDate,
regularMarketDayLow,48.37
currency,USD
trailingPE,74.003044
regularMarketVolume,118924
lastMarket,
maxSupply,
openInterest,
marketCap,2868579840
volumeAllCurrencies,
strikePrice,
averageVolume,352533
dayLow,48.37
ask,48.62
askSize,800
volume,118924
fiftyTwoWeekHigh,50.48
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,27.26
bid,48.54
tradeable,False
dividendYield,0.0089
bidSize,800
dayHigh,49.92
regularMarketPrice,48.62
preMarketPrice,
logo_url,https://logo.clearbit.com/cactuswhd.com
