,info
zip,92122
sector,Industrials
fullTimeEmployees,1000
longBusinessSummary,"TuSimple Holdings Inc., an autonomous technology company, develops autonomous technology specifically designed for semi-trucks in the United States and internationally. It intends to produce a line of purpose-built (Level 4) L4 autonomous semi-trucks for the North American market. The company operates its Autonomous Freight Network (AFN) L4 autonomous semi-trucks equipped with its autonomous driving technology. Its AFN is an ecosystem that consists of L4 autonomous semi-trucks, high definition digital mapped routes, terminals, and TuSimple Connect, a cloud-based autonomous operations oversight system. The company was founded in 2015 and is based in San Diego, California."
city,San Diego
phone,619 916 3144
state,CA
country,United States
companyOfficers,[]
website,https://www.tusimple.com
maxAge,1
address1,9191 Towne Centre Drive
industry,Trucking
address2,Suite 600
ebitdaMargins,0
profitMargins,0
grossMargins,-1.23323
operatingCashflow,-225428992
revenueGrowth,2.057
operatingMargins,-66.51395
ebitda,-320263008
targetLowPrice,21
recommendationKey,buy
grossProfits,-3450000
freeCashflow,
targetMedianPrice,50.5
currentPrice,15.34
earningsGrowth,
currentRatio,30.995
returnOnAssets,
numberOfAnalystOpinions,16
targetMeanPrice,46.42
debtToEquity,0.33
returnOnEquity,
targetHighPrice,78.7
totalCash,1412128000
totalDebt,4654000
totalRevenue,4948000
totalCashPerShare,6.629
financialCurrency,USD
revenuePerShare,0.038
quickRatio,30.65
recommendationMean,2
exchange,NMS
shortName,TuSimple Holdings Inc.
longName,TuSimple Holdings Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,TSP
messageBoardId,finmb_708923406
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,375.981
beta3Year,
enterpriseToEbitda,-5.809
52WeekChange,-0.6165
morningStarRiskRating,
forwardEps,-2.81
revenueQuarterlyGrowth,
sharesOutstanding,197832992
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,6.62
sharesShort,8786633
sharesPercentSharesOut,0.041199997
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.3664
netIncomeToCommon,-664902976
trailingEps,-5.111
lastDividendValue,
SandP52WeekChange,0.12185478
priceToBook,2.3172207
heldPercentInsiders,0.25153
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,3.22
sharesShortPreviousMonthDate,1640908800
floatShares,117718480
beta,
enterpriseValue,1860353536
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,687.7361
dateShortInterest,1643587200
pegRatio,-8.34
ytdReturn,
forwardPE,-5.459075
lastCapGain,
shortPercentOfFloat,0.0655
sharesShortPriorMonth,7661029
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,15.75
regularMarketOpen,15.8458
twoHundredDayAverage,37.554325
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,16.255
navPrice,
averageDailyVolume10Day,3286860
regularMarketPreviousClose,15.75
fiftyDayAverage,25.2897
trailingAnnualDividendRate,0
open,15.8458
toCurrency,
averageVolume10days,3286860
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,15.2521
currency,USD
regularMarketVolume,2265785
lastMarket,
maxSupply,
openInterest,
marketCap,3402918144
volumeAllCurrencies,
strikePrice,
averageVolume,2451469
dayLow,15.2521
ask,15.54
askSize,800
volume,2265785
fiftyTwoWeekHigh,79.839
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,14.92
bid,15.25
tradeable,False
dividendYield,
bidSize,800
dayHigh,16.255
regularMarketPrice,15.34
preMarketPrice,
logo_url,https://logo.clearbit.com/tusimple.com
