,info
zip,43017
sector,Consumer Cyclical
fullTimeEmployees,4667
longBusinessSummary,"The Wendy's Company, together with its subsidiaries, operates as a quick-service restaurant company. It operates through three segments: Wendy's U.S., Wendy's International, and Global Real Estate & Development. The company is involved in operating, developing, and franchising a system of quick-service restaurants specializing in hamburger sandwiches. As of January 3, 2021, it operated approximately 361 Company-operated restaurants; 5,520 franchised restaurants in the United States; and 947 franchised restaurants internationally. The company also owns and leases real estate properties. It owns 509 and leases 1,245 properties, which are leased or subleased primarily to franchisees. The company was formerly known as Wendy's/Arby's Group, Inc. and changed its name to The Wendy's Company in July 2011. The Wendy's Company was founded in 1969 and is headquartered in Dublin, Ohio."
city,Dublin
phone,614 764 3100
state,OH
country,United States
companyOfficers,[]
website,https://www.wendys.com
maxAge,1
address1,One Dave Thomas Boulevard
industry,Restaurants
ebitdaMargins,0.31241
profitMargins,0.123330005
grossMargins,0.47901002
operatingCashflow,355275008
revenueGrowth,0.013
operatingMargins,0.22845
ebitda,473676992
targetLowPrice,23
recommendationKey,buy
grossProfits,633177000
freeCashflow,279067744
targetMedianPrice,27
currentPrice,22.71
earningsGrowth,0.059
currentRatio,2.072
returnOnAssets,0.042779997
numberOfAnalystOpinions,26
targetMeanPrice,26.63
debtToEquity,702.755
returnOnEquity,0.3514
targetHighPrice,30
totalCash,571502016
totalDebt,3814232064
totalRevenue,1516216960
totalCashPerShare,2.59
financialCurrency,USD
revenuePerShare,6.801
quickRatio,1.79
recommendationMean,2.2
exchange,NMS
shortName,Wendy's Company (The)
longName,The Wendy's Company
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,WEN
messageBoardId,finmb_23557
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,5.443
beta3Year,
enterpriseToEbitda,17.424
52WeekChange,0.11871922
morningStarRiskRating,
forwardEps,0.89
revenueQuarterlyGrowth,
sharesOutstanding,220634000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,2.453
sharesShort,5956734
sharesPercentSharesOut,0.027
fundFamily,
lastFiscalYearEnd,1609632000
heldPercentInstitutions,0.69615996
netIncomeToCommon,186995008
trailingEps,0.829
lastDividendValue,0.12
SandP52WeekChange,0.12185478
priceToBook,9.258051
heldPercentInsiders,0.15283
nextFiscalYearEnd,1672704000
yield,
mostRecentQuarter,1633219200
shortRatio,2.72
sharesShortPreviousMonthDate,1640908800
floatShares,176081721
beta,0.955246
enterpriseValue,8253338112
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1638230400
morningStarOverallRating,
earningsQuarterlyGrowth,0.036
priceToSalesTrailing12Months,3.3046708
dateShortInterest,1643587200
pegRatio,1.2
ytdReturn,
forwardPE,25.516853
lastCapGain,
shortPercentOfFloat,0.033800002
sharesShortPriorMonth,6503663
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,22.71
regularMarketOpen,22.63
twoHundredDayAverage,22.795
trailingAnnualDividendYield,0.016732717
payoutRatio,0.4578
volume24Hr,
regularMarketDayHigh,23.06
navPrice,
averageDailyVolume10Day,2197210
regularMarketPreviousClose,22.71
fiftyDayAverage,23.0024
trailingAnnualDividendRate,0.38
open,22.63
toCurrency,
averageVolume10days,2197210
expireDate,
algorithm,
dividendRate,0.48
exDividendDate,1638230400
circulatingSupply,
startDate,
regularMarketDayLow,22.6
currency,USD
trailingPE,27.39445
regularMarketVolume,2065453
lastMarket,
maxSupply,
openInterest,
marketCap,5010597888
volumeAllCurrencies,
strikePrice,
averageVolume,2081129
dayLow,22.6
ask,22.71
askSize,900
volume,2065453
fiftyTwoWeekHigh,29.46
fromCurrency,
fiveYearAvgDividendYield,1.79
fiftyTwoWeekLow,18.86
bid,22.3
tradeable,False
dividendYield,0.0211
bidSize,1300
dayHigh,23.06
regularMarketPrice,22.71
preMarketPrice,
logo_url,https://logo.clearbit.com/wendys.com
