,info
exchange,BTS
shortName,ARK Genomic Revolution ETF
longName,ARK Genomic Revolution ETF
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,ETF
symbol,ARKG
messageBoardId,finmb_268203657
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,
beta3Year,1.52
profitMargins,
enterpriseToEbitda,
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
fundInceptionDate,1414627200
annualReportExpenseRatio,
totalAssets,5064487936
bookValue,
fundFamily,ARK ETF Trust
lastFiscalYearEnd,
netIncomeToCommon,
trailingEps,
lastDividendValue,
SandP52WeekChange,
priceToBook,
nextFiscalYearEnd,
yield,0
mostRecentQuarter,
enterpriseValue,
priceHint,2
threeYearAverageReturn,0.2773
lastSplitDate,
lastSplitFactor,
legalType,Exchange Traded Fund
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,
pegRatio,
ytdReturn,
forwardPE,
maxAge,1
lastCapGain,
category,Health
fiveYearAverageReturn,0.2638
phone,855-406-1506
longBusinessSummary,"The fund is an actively-managed exchange-traded fund (""ETF"") that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of companies across multiple sectors, including healthcare, information technology, materials, energy and consumer discretionary, that are relevant to the fund's investment theme of the genomics revolution (""Genomics Revolution Companies""). It is non-diversified."
companyOfficers,[]
previousClose,46.45
regularMarketOpen,46.45
twoHundredDayAverage,73.26073
trailingAnnualDividendYield,
payoutRatio,
volume24Hr,
regularMarketDayHigh,46.8591
navPrice,60.27
averageDailyVolume10Day,2941290
regularMarketPreviousClose,46.45
fiftyDayAverage,53.9755
trailingAnnualDividendRate,
open,46.45
toCurrency,
averageVolume10days,2941290
expireDate,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,45.1
currency,USD
regularMarketVolume,3423475
lastMarket,
maxSupply,
openInterest,
marketCap,
volumeAllCurrencies,
strikePrice,
averageVolume,4079735
dayLow,45.1
ask,50
askSize,1100
volume,3423475
fiftyTwoWeekHigh,106.55
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,42.83
bid,44.76
tradeable,False
dividendYield,
bidSize,2200
dayHigh,46.8591
preferredPosition,
bondPosition,0
convertiblePosition,
sectorWeightings,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0.0045}, {'consumer_defensive': 0.0038}, {'technology': 0.024600001}, {'communication_services': 0}, {'financial_services': 0.0126}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0.95449996}]"
holdings,"[{'symbol': 'TDOC', 'holdingName': 'Teladoc Health Inc', 'holdingPercent': 0.0685}, {'symbol': 'EXAS', 'holdingName': 'Exact Sciences Corp', 'holdingPercent': 0.05}, {'symbol': 'PACB', 'holdingName': 'Pacific Biosciences of California Inc', 'holdingPercent': 0.0479}, {'symbol': 'CDNA', 'holdingName': 'CareDx Inc', 'holdingPercent': 0.0425}, {'symbol': 'REGN', 'holdingName': 'Regeneron Pharmaceuticals Inc', 'holdingPercent': 0.0405}, {'symbol': 'VRTX', 'holdingName': 'Vertex Pharmaceuticals Inc', 'holdingPercent': 0.0364}, {'symbol': 'IONS', 'holdingName': 'Ionis Pharmaceuticals Inc', 'holdingPercent': 0.036199998}, {'symbol': 'FATE', 'holdingName': 'Fate Therapeutics Inc', 'holdingPercent': 0.0358}, {'symbol': 'TWST', 'holdingName': 'Twist Bioscience Corp', 'holdingPercent': 0.0356}, {'symbol': 'CRSP', 'holdingName': 'CRISPR Therapeutics AG', 'holdingPercent': 0.0304}]"
bondHoldings,"{'maturity': None, 'duration': None, 'creditQuality': None, 'maturityCat': None, 'durationCat': None, 'creditQualityCat': None}"
bondRatings,"[{'bb': 0}, {'aa': 0}, {'aaa': 0}, {'a': 0}, {'other': 0}, {'b': 0}, {'bbb': 0}, {'below_b': 0}, {'us_government': 0}]"
equityHoldings,"{'priceToCashflow': 0, 'priceToSales': 8.84, 'priceToBookCat': None, 'priceToEarningsCat': None, 'medianMarketCapCat': None, 'threeYearEarningsGrowthCat': None, 'threeYearEarningsGrowth': None, 'medianMarketCap': None, 'priceToEarnings': 0, 'priceToBook': 5.04, 'priceToSalesCat': None, 'priceToCashflowCat': None}"
otherPosition,
cashPosition,
stockPosition,0.9927
regularMarketPrice,45.35
preMarketPrice,
logo_url,
