,info
zip,22775-057
sector,Communication Services
fullTimeEmployees,9119
longBusinessSummary,"TIM S.A. operates as a telecommunications company in Brazil. It provides mobile voice and data services, broadband Internet access, value-added services, and other telecommunications services and products. The company provides services for individuals, as well as corporate solutions for small, medium, and large companies. It also offers fixed-line ultra-broadband and TIM Live services, as well as WTTx technology through Ultrafibra services. In addition, the company offers digital content and services in its portfolio of packages; and handset models from various manufacturers for sale through its dealer network, which includes its stores, franchises, and authorized dealers, as well as provides co-billing services. The company was founded in 1998 and is headquartered in Rio de Janeiro, Brazil. TIM S.A. operates as a subsidiary of TIM Brasil ServiÃ§os e ParticipaÃ§Ãµes S.A."
city,Rio de Janeiro
phone,55 21 4109 4167
state,RJ
country,Brazil
companyOfficers,[]
website,https://www.tim.com.br
maxAge,1
address1,"JoÃ£o Cabral de Melo Neto Avenue, 850"
industry,Telecom Services
address2,South Tower â 12th floor
ebitdaMargins,0.36269
profitMargins,0.16476
grossMargins,0.53322
operatingCashflow,10653452288
revenueGrowth,0.028
operatingMargins,0.18166
ebitda,6505408000
targetLowPrice,
recommendationKey,none
grossProfits,9271197000
freeCashflow,4294141184
targetMedianPrice,
currentPrice,12.52
earningsGrowth,1.545
currentRatio,1.846
returnOnAssets,0.04862
numberOfAnalystOpinions,
targetMeanPrice,
debtToEquity,48.401
returnOnEquity,0.12342
targetHighPrice,
totalCash,7372407808
totalDebt,11926914048
totalRevenue,17936605184
totalCashPerShare,15.23
financialCurrency,BRL
revenuePerShare,37.055
quickRatio,1.72
recommendationMean,
exchange,NYQ
shortName,TIM S.A.
longName,TIM S.A.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,TIMB
messageBoardId,finmb_413394
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,0.597
beta3Year,
enterpriseToEbitda,1.647
52WeekChange,-0.006250024
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,484080992
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,50.905
sharesShort,801913
sharesPercentSharesOut,0.0017
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.05307
netIncomeToCommon,2955296000
trailingEps,1.155
lastDividendValue,0.203
SandP52WeekChange,0.15643954
priceToBook,0.24594834
heldPercentInsiders,0
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,1.96
sharesShortPreviousMonthDate,1639526400
floatShares,483999008
beta,
enterpriseValue,10711897088
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1640217600
morningStarOverallRating,
earningsQuarterlyGrowth,1.545
priceToSalesTrailing12Months,0.33789527
dateShortInterest,1642118400
pegRatio,
ytdReturn,
forwardPE,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,1038143
impliedSharesOutstanding,
category,
fiveYearAverageReturn,
previousClose,12.72
regularMarketOpen,12.91
twoHundredDayAverage,11.4755
trailingAnnualDividendYield,0.004481132
payoutRatio,0.42069998
volume24Hr,
regularMarketDayHigh,12.965
navPrice,
averageDailyVolume10Day,457320
regularMarketPreviousClose,12.72
fiftyDayAverage,11.6808
trailingAnnualDividendRate,0.057
open,12.91
toCurrency,
averageVolume10days,457320
expireDate,
algorithm,
dividendRate,0.4
exDividendDate,1640217600
circulatingSupply,
startDate,
regularMarketDayLow,12.11
currency,USD
trailingPE,10.839828
regularMarketVolume,919931
lastMarket,
maxSupply,
openInterest,
marketCap,6060694016
volumeAllCurrencies,
strikePrice,
averageVolume,500988
dayLow,12.11
ask,12.33
askSize,900
volume,919931
fiftyTwoWeekHigh,13.61
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,9.81
bid,12.31
tradeable,False
dividendYield,0.0313
bidSize,1100
dayHigh,12.965
regularMarketPrice,12.52
preMarketPrice,12.87
logo_url,https://logo.clearbit.com/tim.com.br
